scope,model_code,trigger,market_regime,horizon_trading_days,purged_boundary_count,sample_count,win_count,win_rate,win_rate_ci_low,win_rate_ci_high,mean_net_return,median_net_return
HOLDOUT,S0013,STRONG_FRACTAL,UP,60,0,3,0,0.0,0.0,0.561497,-0.096231,-0.127865
HOLDOUT,S0013,STRONG_FRACTAL,UP,90,0,3,1,0.333333,0.061492,0.79234,-0.092581,-0.197688
HOLDOUT,S0013,STRONG_FRACTAL,DOWN,30,0,0,0,,,,,
HOLDOUT,S0013,STRONG_FRACTAL,DOWN,60,0,0,0,,,,,
HOLDOUT,S0013,STRONG_FRACTAL,DOWN,90,0,0,0,,,,,
HOLDOUT,S0013,STRONG_FRACTAL,SIDEWAYS,30,0,21,8,0.380952,0.20751,0.591213,0.053632,-0.032651
HOLDOUT,S0013,STRONG_FRACTAL,SIDEWAYS,60,0,14,6,0.428571,0.213808,0.674094,0.018663,-0.027085
HOLDOUT,S0013,STRONG_FRACTAL,SIDEWAYS,90,0,11,4,0.363636,0.151665,0.646199,-0.012987,-0.094272
HOLDOUT,S0014,ENGULFING,UP,30,0,16,4,0.25,0.101821,0.494983,0.01477,-0.035957
HOLDOUT,S0014,ENGULFING,UP,60,0,16,7,0.4375,0.230987,0.668214,0.046489,-0.071188
HOLDOUT,S0014,ENGULFING,UP,90,0,8,2,0.25,0.071479,0.590725,0.03207,-0.13061
HOLDOUT,S0014,ENGULFING,DOWN,30,0,0,0,,,,,
HOLDOUT,S0014,ENGULFING,DOWN,60,0,0,0,,,,,
HOLDOUT,S0014,ENGULFING,DOWN,90,0,0,0,,,,,
HOLDOUT,S0014,ENGULFING,SIDEWAYS,30,0,47,17,0.361702,0.239662,0.504641,-0.018959,-0.040696
HOLDOUT,S0014,ENGULFING,SIDEWAYS,60,0,26,11,0.423077,0.255444,0.610514,0.027197,-0.04015
HOLDOUT,S0014,ENGULFING,SIDEWAYS,90,0,16,6,0.375,0.184812,0.61359,-0.018706,-0.1645
HOLDOUT,S0014,STRONG_FRACTAL,UP,30,0,39,20,0.512821,0.361994,0.661348,0.03075,0.000728
HOLDOUT,S0014,STRONG_FRACTAL,UP,60,0,39,17,0.435897,0.293048,0.590243,0.041655,-0.050076
HOLDOUT,S0014,STRONG_FRACTAL,UP,90,0,26,12,0.461538,0.287559,0.645421,0.031367,-0.109293
HOLDOUT,S0014,STRONG_FRACTAL,DOWN,30,0,0,0,,,,,
HOLDOUT,S0014,STRONG_FRACTAL,DOWN,60,0,0,0,,,,,
HOLDOUT,S0014,STRONG_FRACTAL,DOWN,90,0,0,0,,,,,
HOLDOUT,S0014,STRONG_FRACTAL,SIDEWAYS,30,0,213,71,0.333333,0.273473,0.399099,-0.031956,-0.08332
