symbol,name,primary_group,secondary_groups,industry_source,concept_source,mapping_confidence,mapping_reason,excluded_noise_tags,evidence_ids,business_group_raw,market_theme_id,market_lane,business_industry_fallback,mapping_source_rank,mapping_source_detail,mapping_asof,mapping_attempts,mapping_status
601108,财通证券,证券,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,证券,,unclassified,证券,cninfo_industry,申银万国行业分类标准(旧)|2017-09-26,2017-09-26,cninfo:ok,resolved_theme_unmatched
601225,陕西煤业,煤炭行业,,煤炭行业,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
603031,安孚科技,超市,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,超市,,unclassified,超市,cninfo_industry,申银万国行业分类标准(旧)|2018-12-26,2018-12-26,cninfo:ok,resolved_theme_unmatched
603067,振华股份,钒电池,电解液;钒电池,,Sina concept constituents 2026-07-31 snapshot,medium,sina_concept_primary,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_concept,sina_concept_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
603226,菲林格尔,瓷砖地板,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,瓷砖地板,,unclassified,瓷砖地板,cninfo_industry,申银万国行业分类标准|2021-07-30,2021-07-30,cninfo:ok,resolved_theme_unmatched
603268,松发股份,陶瓷行业,,陶瓷行业,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
603303,得邦照明,照明设备,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,照明设备,,unclassified,照明设备,cninfo_industry,申银万国行业分类标准|2021-07-30,2021-07-30,cninfo:ok,resolved_theme_unmatched
603379,三美股份,氟化工及制冷剂,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,氟化工及制冷剂,,unclassified,氟化工及制冷剂,cninfo_industry,申银万国行业分类标准(旧)|2019-03-13,2019-03-13,cninfo:ok,resolved_theme_unmatched
603466,风语筑,其他数字媒体,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,其他数字媒体,,unclassified,其他数字媒体,cninfo_industry,申银万国行业分类标准|2022-01-14,2022-01-14,cninfo:ok,resolved_theme_unmatched
603608,天创时尚,鞋帽,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,鞋帽,,unclassified,鞋帽,cninfo_industry,申银万国行业分类标准(旧)|2016-01-22,2016-01-22,cninfo:ok,resolved_theme_unmatched
603629,利通电子,消费电子零部件及组装,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,消费电子零部件及组装,,unclassified,消费电子零部件及组装,cninfo_industry,申银万国行业分类标准|2021-07-30,2021-07-30,cninfo:ok,resolved_theme_unmatched
